DATE,G,A,TKA,Season,Player,MonthOrPlayoff
Thu 11/1,1,0,1,2018-19,Evgeni Malkin,N
Tue 10/30,1,0,0,2018-19,Evgeni Malkin,N
Sat 10/27,2,1,1,2018-19,Evgeni Malkin,N
Thu 10/25,0,2,0,2018-19,Evgeni Malkin,N
Tue 10/23,0,1,0,2018-19,Evgeni Malkin,N
Thu 10/18,2,1,2,2018-19,Evgeni Malkin,N
Tue 10/16,0,1,0,2018-19,Evgeni Malkin,N
Sat 10/13,0,2,3,2018-19,Evgeni Malkin,N
Thu 10/11,0,3,0,2018-19,Evgeni Malkin,N
Sat 10/6,0,0,0,2018-19,Evgeni Malkin,N
Thu 10/4,1,2,2,2018-19,Evgeni Malkin,N
Mon 5/7,0,0,1,2017-18,Evgeni Malkin,Y
Sat 5/5,0,1,0,2017-18,Evgeni Malkin,Y
Thu 5/3,1,0,2,2017-18,Evgeni Malkin,Y
Tue 5/1,0,1,1,2017-18,Evgeni Malkin,Y
Fri 4/20,0,0,2,2017-18,Evgeni Malkin,Y
Wed 4/18,1,1,1,2017-18,Evgeni Malkin,Y
Sun 4/15,1,1,0,2017-18,Evgeni Malkin,Y
Fri 4/13,0,0,2,2017-18,Evgeni Malkin,Y
Wed 4/11,1,0,0,2017-18,Evgeni Malkin,Y
Fri 4/6,0,1,3,2017-18,Evgeni Malkin,N
Thu 4/5,0,1,1,2017-18,Evgeni Malkin,N
Sun 4/1,0,1,2,2017-18,Evgeni Malkin,N
Sat 3/31,0,2,1,2017-18,Evgeni Malkin,N
Thu 3/29,0,0,3,2017-18,Evgeni Malkin,N
Tue 3/27,0,1,0,2017-18,Evgeni Malkin,N
Sun 3/25,1,0,2,2017-18,Evgeni Malkin,N
Fri 3/23,0,0,2,2017-18,Evgeni Malkin,N
Wed 3/21,1,1,0,2017-18,Evgeni Malkin,N
Tue 3/20,0,0,2,2017-18,Evgeni Malkin,N
Thu 3/15,1,1,0,2017-18,Evgeni Malkin,N
Wed 3/14,0,0,3,2017-18,Evgeni Malkin,N
Sun 3/11,1,1,0,2017-18,Evgeni Malkin,N
Sat 3/10,0,1,1,2017-18,Evgeni Malkin,N
Wed 3/7,1,1,0,2017-18,Evgeni Malkin,N
Mon 3/5,1,2,1,2017-18,Evgeni Malkin,N
Sat 3/3,0,1,1,2017-18,Evgeni Malkin,N
Thu 3/1,0,2,0,2017-18,Evgeni Malkin,N
Tue 2/27,0,0,1,2017-18,Evgeni Malkin,N
Sat 2/24,2,1,2,2017-18,Evgeni Malkin,N
Fri 2/23,1,2,1,2017-18,Evgeni Malkin,N
Sun 2/18,0,1,0,2017-18,Evgeni Malkin,N
Sat 2/17,1,2,4,2017-18,Evgeni Malkin,N
Thu 2/15,1,0,1,2017-18,Evgeni Malkin,N
Tue 2/13,1,1,1,2017-18,Evgeni Malkin,N
Sun 2/11,0,0,3,2017-18,Evgeni Malkin,N
Fri 2/9,0,1,0,2017-18,Evgeni Malkin,N
Tue 2/6,1,1,1,2017-18,Evgeni Malkin,N
Sat 2/3,1,0,1,2017-18,Evgeni Malkin,N
Fri 2/2,2,2,1,2017-18,Evgeni Malkin,N
Tue 1/30,3,0,0,2017-18,Evgeni Malkin,N
Thu 1/25,2,1,0,2017-18,Evgeni Malkin,N
Tue 1/23,0,0,2,2017-18,Evgeni Malkin,N
